,road_segment_id,road_segment_length,ST_NAME,speed_category,funclass_name,geometry,direction,ST_TYPE,ST_PRE,From,To,To_2,To_3,To_4
7315,1240748074,0.010563307,University,45,Highways,"MULTILINESTRING ((2376040.6797922235 7132905.8204601575, 2376098.771409096 7132906.557589281))",E,Dr,W,,,,,
7316,1240748075,0.026097582,University,45,Highways,"MULTILINESTRING ((2376040.6797922235 7132905.8204601575, 2375899.990781327 7132907.674252982))",W,Dr,W,,,,,
7317,1240748490,0.065243955,I-35W N,70,Interstate,"MULTILINESTRING ((2376625.7070583273 7126331.083992333, 2376531.6081875777 7126515.455196354, 2376497.184076017 7126576.873492879, 2376465.9567387346 7126627.416746054, 2376459.7482410027 7126634.61502284))",NW,Unknown,,,,,,
7318,1240748491,0.027961695,I-35W N,70,Interstate,"MULTILINESTRING ((2376459.7482410027 7126634.61502284, 2376375.610473031 7126757.257686861))",NW,Unknown,,,,,,
7319,1240749187,0.113089522,I-35E N,70,Interstate,"MULTILINESTRING ((2385619.120342817 7120821.371131729, 2385266.7674529855 7120864.100264024, 2385131.858861599 7120887.820621789, 2385027.5835880237 7120908.300073695))",W,Unknown,,,,,,
7320,1240749531,0.177090735,I-35W N,70,Interstate,"MULTILINESTRING ((2364480.542260332 7097242.006616489, 2364726.1524480553 7097681.650257203, 2364945.0162734888 7098055.473434081))",NE,Unknown,,,,,,
7321,1240749951,0.026718953,Hickory Creek,40,Arterial,"MULTILINESTRING ((2390869.2235092116 7103075.616191615, 2390725.341953479 7103077.364781533))",W,Rd,,Montecito,,,,
7322,1240750097,0.024233469,Country Club,40,Arterial,"MULTILINESTRING ((2384086.439423516 7107338.899300944, 2384084.746255988 7107469.864508259))",N,Rd,,,,,,
7323,1240750098,0.066486697,Country Club,40,Arterial,"MULTILINESTRING ((2384084.746255988 7107469.864508259, 2384080.18410956 7107822.743028956))",N,Rd,,,,,,
7324,1240750214,0.026718953,Hickory Creek,40,Arterial,"MULTILINESTRING ((2390581.5081827706 7103075.476110902, 2390725.341953479 7103077.364781533))",E,Rd,,,,,,
7325,1240750215,0.095691134,Hickory Creek,40,Arterial,"MULTILINESTRING ((2390581.5081827706 7103075.476110902, 2390462.0612547696 7103081.185213957, 2390232.539303499 7103078.173563328, 2390076.416660573 7103079.764482116))",W,Rd,,,,,,
7326,1240750522,0.025476211,I-35E N,70,Interstate,"MULTILINESTRING ((2386201.4845957314 7120734.3338014, 2386066.5747215264 7120758.050232641))",W,Unknown,,,,,,
7327,1240750580,0.103768957,I-35W S,70,Interstate,"MULTILINESTRING ((2376717.8438494476 7125579.073172003, 2376683.2335361266 7125655.043114734, 2376617.395017151 7125781.55617941, 2376498.5525460984 7125987.4444674235, 2376451.7569455765 7126059.621360514))",NW,Unknown,,,,,,
7328,1240750581,0.041010486,I-35W S,70,Interstate,"MULTILINESTRING ((2376451.7569455765 7126059.621360514, 2376333.1936226985 7126243.682465428))",NW,Unknown,,,,,,
7329,1240750682,0.026718953,I-35E,40,Arterial,"MULTILINESTRING ((2382709.660225236 7122501.132703921, 2382604.407168855 7122598.017083692))",NW,Unknown,N,,,,,
7330,1240750683,0.036660889,I-35E,40,Arterial,"MULTILINESTRING ((2382604.407168855 7122598.017083692, 2382455.9149492984 7122727.091722682))",NW,Unknown,N,,,,,
7331,1240750901,0.089477424,I-35W N,70,Interstate,"MULTILINESTRING ((2371374.6949196025 7110426.264987333, 2371586.6337592485 7110850.990376301))",NE,Unknown,,,,,,
7332,1240750902,0.173362509,I-35W N,70,Interstate,"MULTILINESTRING ((2371586.6337592485 7110850.990376301, 2371992.457126271 7111674.749539637))",NE,Unknown,,,,,,
7333,1240750943,0.110604038,I-35E S,70,Interstate,"MULTILINESTRING ((2385586.278477442 7120759.089299486, 2385301.3558504013 7120791.777728946, 2385148.1424755263 7120811.6220253315, 2385007.069397069 7120838.901533363))",W,Unknown,,,,,,
7334,1240751531,0.160313718,I-35W N,70,Interstate,"MULTILINESTRING ((2372195.3379883897 7112088.450152112, 2372514.6031681537 7112736.480551281, 2372571.313402727 7112849.987746318))",NE,Unknown,,,,,,
7335,1240751532,0.866191174,I-35W N,70,Interstate,"MULTILINESTRING ((2372571.313402727 7112849.987746318, 2373069.5874176235 7113860.489415213, 2374600.1894361153 7116950.715192706))",NE,Unknown,,,,,,
7336,1240751596,0.019262501,I-35W S,70,Interstate,"MULTILINESTRING ((2371169.741659631 7110176.277512972, 2371190.6576284613 7110216.563242752, 2371214.496412798 7110267.801161356))",NE,Unknown,,,,,,
7337,1240751597,0.037903631,I-35W S,70,Interstate,"MULTILINESTRING ((2371214.496412798 7110267.801161356, 2371250.2088590767 7110348.296021911, 2371297.8859552816 7110450.771973638))",NE,Unknown,,,,,,
7338,1240751802,0.018019759,Hickory Creek,40,Arterial,"MULTILINESTRING ((2384209.799387176 7104662.5378276985, 2384123.5510168304 7104705.0849568285))",NW,Rd,,,,,,
7339,1240751869,0.054059277,I-35W S,70,Interstate,"MULTILINESTRING ((2377048.2845544666 7124367.9958396135, 2377037.8144772043 7124469.7422391195, 2377011.03556555 7124651.329490528))",N,Unknown,,,,,,
7340,1240751870,0.122410087,I-35W S,70,Interstate,"MULTILINESTRING ((2377011.03556555 7124651.329490528, 2377004.4102655808 7124691.269358883, 2376946.2170085195 7124937.951268999, 2376885.382602216 7125151.852729358, 2376840.9957981408 7125274.999455075))",N,Unknown,,,,,,
7341,1240751953,0.200081462,I-35W S,70,Interstate,"MULTILINESTRING ((2374541.471397839 7116997.2741915155, 2374991.824800865 7117916.2406136, 2375006.705018449 7117949.175693543))",NE,Unknown,,,,,,
7342,1240751954,0.009941936,I-35W S,70,Interstate,"MULTILINESTRING ((2375006.705018449 7117949.175693543, 2375030.577734114 7117996.778697836))",NE,Unknown,,,,,,
7343,1240752189,0.069593552,I-35 S,70,Interstate,"MULTILINESTRING ((2375501.4902520073 7127674.004046772, 2375447.7538521304 7127811.588555238, 2375374.748809156 7128021.700308009))",N,Unknown,,Oak,,,,
7344,1240752190,0.083263714,I-35 S,70,Interstate,"MULTILINESTRING ((2375374.748809156 7128021.700308009, 2375282.337760205 7128315.253394868, 2375244.030880442 7128442.117972778))",N,Unknown,,,,,,
7345,1240752450,0.20505243,I-35E S,70,Interstate,"MULTILINESTRING ((2389903.7652717093 7119745.684313334, 2389738.022839733 7119787.173888458, 2389421.832760741 7119870.355939169, 2389388.0441685217 7119880.829034125, 2389348.138213888 7119891.222043616, 2389308.23228562 7119901.6151027465, 2388854.023003098 7120012.104018682))",W,Unknown,,Teasley,,,,
7346,1240752451,0.01242742,I-35E S,70,Interstate,"MULTILINESTRING ((2388854.023003098 7120012.104018682, 2388789.552784865 7120029.453506786))",W,Unknown,,,,,,
